anio,1,2,3,4,5,6,7,8,9,10,11,12
2015,,,,,,,102.35483870967742,154.67741935483872,183.13333333333333,186.16129032258064,100.83333333333333,118.90322580645162
2016,93.61290322580645,161.86206896551724,204.83870967741936,214.83333333333334,218.16129032258064,204.2,221.09677419354838,239.0,219.13333333333333,224.16129032258064,166.4,155.03225806451613
2017,138.19354838709677,190.53571428571428,190.16129032258064,212.93333333333334,215.4516129032258,213.13333333333333,235.16129032258064,223.67741935483872,,,,
