anio,0,1,2,3,4,5,6
2015,148.69230769230768,112.57692307692308,150.4814814814815,125.55555555555556,164.42307692307693,171.46153846153845,114.03846153846153
2016,210.19230769230768,162.6153846153846,169.44230769230768,212.15384615384616,219.26415094339623,202.49056603773585,178.5
2017,221.65714285714284,170.05714285714285,174.14285714285714,216.37142857142857,215.6764705882353,219.6764705882353,200.54285714285714
