Escenario,Observaciones temporales,Total de huéspedes,Media diaria,Mediana diaria,Desviación estándar,Mínimo diario,Máximo diario,Días con cero,Coeficiente de variación
Serie oficial: con duplicados,793,146007.0,184.11979823455232,188.0,69.22999673872656,24.0,526.0,0,0.37600517381913307
Serie alternativa: sin duplicados exactos,793,125235.0,157.92559899117276,158.0,56.51828400789939,24.0,326.0,0,0.357879180886048
