mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.17735987901687622,0.011024364751652898,0.005978047847747803,0.0003523831992974367,0.03,3,200,0.8,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-51.13599574312251,-41.51865922643783,-40.13707938769185,-37.39116230416805,-42.545724165355054,5.1773232904252815,1,-16.766097373150764,-24.405201796944258,-27.65989378439901,-29.5456021153335,-24.594198767456888,4.879287149386371
0.16986095905303955,0.013884498001201563,0.005701780319213867,1.656708930287428e-05,0.03,3,200,1.0,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-53.15013755636012,-42.30474085165254,-39.57415279090827,-38.48302129650792,-43.378013123857215,5.811123551366863,2,-16.91365530135784,-25.489069431386095,-28.737480001246677,-29.976845423380535,-25.27926253934279,5.100342056136931
0.30493003129959106,0.05250438517470578,0.006495952606201172,0.0001286457695676341,0.03,3,400,0.8,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.8}",-53.1600210311565,-44.71543927564689,-42.23382481784685,-39.28669760413204,-44.848995682195564,5.168879429425902,3,-7.7985478123874525,-16.279275583037247,-20.733852395492807,-23.88282184736103,-17.173624409569634,6.049389940266086
0.7924548387527466,0.20279501905937913,0.014739811420440674,0.009722752143892784,0.03,5,200,0.8,"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-57.38701223819814,-41.15980551428829,-42.10648443343791,-39.31692115296709,-44.99255583472286,7.225904125618199,4,-5.732632359714373,-10.785210643254274,-14.470620851990178,-17.08057818852418,-12.01726051087075,4.262354418124341
0.34779518842697144,0.07991996716594962,0.006410360336303711,0.00038532104796135217,0.08,5,200,1.0,"{'learning_rate': 0.08, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",-52.604734921286294,-42.88513253935685,-45.00771775482394,-40.565779124591366,-45.265841085014614,4.518969628268172,5,-0.6005231032134793,-2.588678353221704,-4.762796640959755,-6.7174885594253,-3.66737166420506,2.295229199307901
0.711279034614563,0.2198889343773396,0.018127620220184326,0.01708529432000944,0.03,5,200,1.0,"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",-57.04214501888194,-40.84315209354914,-44.702050012899626,-39.87718238560021,-45.61613237773273,6.8393384046047085,6,-5.6384543019829065,-12.019376470687542,-14.327046658130403,-17.588324688850566,-12.393300529912853,4.373082918988326
0.6057510375976562,0.12462835609881626,0.007038772106170654,0.0013382334853106607,0.08,5,400,1.0,"{'learning_rate': 0.08, 'max_depth': 5, 'n_estimators': 400, 'subsample': 1.0}",-52.644825766272575,-43.365433767332256,-45.47941378329663,-41.50608089798731,-45.74893855372219,4.222228090820671,7,-0.023530053754224844,-0.443281944761885,-1.0764019968380036,-1.7411946371092017,-0.8211021581158289,0.6501187493116846
0.3638152480125427,0.12095362189141204,0.007957816123962402,0.00233733379208984,0.03,3,400,1.0,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 400, 'subsample': 1.0}",-57.991971387930796,-45.63339493122507,-40.97013313888658,-40.16114655623199,-46.189161503568606,7.127243838364194,8,-8.932455022284325,-17.728838088664602,-21.9393253371507,-24.3031393213475,-18.22593944236178,5.859555349914175
1.7046422362327576,0.23898236253266816,0.012661397457122803,0.0032299223620853353,0.03,5,400,0.8,"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 400, 'subsample': 0.8}",-58.20372068797443,-42.51096446801585,-43.55738035161445,-40.70004012736868,-46.243026408743354,6.980757223080059,9,-1.0640285302561225,-3.8736136483807937,-6.737560659999261,-9.366601145859306,-5.260450996123871,3.1054629828908364
0.3622645139694214,0.07204738053624754,0.0063100457191467285,0.00020882074517841056,0.08,5,200,0.8,"{'learning_rate': 0.08, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-56.13586877592912,-43.80096197466478,-44.35461074071573,-42.8114980061849,-46.77573487437363,5.43227384429343,10,-0.4228828511339553,-2.1101858193147267,-4.3833965364641045,-6.091315154488205,-3.251945090350248,2.159248255897813
