serie,ADF_estadistico,ADF_p_value,KPSS_estadistico,KPSS_p_value
Original,-2.6051265608052687,0.0919423339763481,1.5279344930864955,0.01
Primera diferencia,-10.271697761231332,3.98602112889845e-18,0.06369683299865085,0.1
